"Incid_Type","BurnBndAc"
"Wildfire",7.5076900778199
"Wildfire",8.22764270790443
"Wildfire",6.98378996525813
"Wildfire",7.72885582385254
"Wildfire",8.91637191488169
"Wildfire",11.236394322496
"Wildfire",11.7507920978373
"Wildfire",7.90396563403217
"Wildfire",7.47477218239787
"Wildfire",10.1598724376301
"Wildfire",7.64683139143048
"Wildfire",7.24279792279376
"Wildfire",7.50714107972761
"Wildfire",7.13089883029635
"Wildfire",9.2533040714083
"Wildfire",7.74022952476318
"Wildfire",6.91671502035361
"Wildfire",9.8079123376131
"Wildfire",7.06561336359772
"Wildfire",7.43543801981455
"Wildfire",7.13727843726039
"Wildfire",6.91572344863131
"Wildfire",8.3086919168389
"Wildfire",7.90765159471109
"Wildfire",9.05753878171822
"Wildfire",9.92118011206705
"Wildfire",8.05165955684195
"Wildfire",8.53129331579502
"Wildfire",11.0473918303959
"Wildfire",9.54165648144802
"Wildfire",9.26350192009041
"Wildfire",8.66336930157384
"Wildfire",7.52886925664225
"Wildfire",10.5800733472968
"Wildfire",8.19257047115217
"Wildfire",8.85666093701725
"Wildfire",10.6383523264479
"Wildfire",8.53856321715243
"Wildfire",9.60689927061335
"Wildfire",10.8680730878136
"Wildfire",8.70979505761775
"Wildfire",7.06390396147207
"Wildfire",9.04381342108087
"Wildfire",8.83025057019925
"Wildfire",9.83209895644847
"Wildfire",9.53985992316954
"Wildfire",8.49125980938973
"Wildfire",7.24565506759454
"Wildfire",10.1740107498971
"Wildfire",8.65119947126397
"Wildfire",9.73370702723648
"Wildfire",8.81774212957484
"Wildfire",10.2850014398218
"Wildfire",8.91058571829013
"Wildfire",8.07059353994952
"Wildfire",7.94979721616185
"Wildfire",8.46695197497949
"Wildfire",7.11151211649616
"Wildfire",11.2204988214877
"Wildfire",7.34536484041687
"Wildfire",7.07326971745971
"Wildfire",9.11701821474481
"Wildfire",8.83346272071993
"Wildfire",8.96072450033086
"Wildfire",9.02665788954289
"Wildfire",9.65553888230295
"Wildfire",10.8379914138296
"Wildfire",8.6769282495374
"Wildfire",9.93522843832019
"Wildfire",8.34877453979127
"Wildfire",9.19370273082316
"Wildfire",8.83724564389847
"Wildfire",9.74419869485275
"Wildfire",9.3585017229567
"Wildfire",8.03398273468322
"Wildfire",8.83112763501208
"Wildfire",7.028201432058
"Wildfire",8.44009614103127
"Wildfire",7.12367278520461
"Wildfire",7.74153358928183
"Wildfire",9.85272043548247
"Wildfire",8.47470313979528
"Wildfire",6.94505106372583
"Wildfire",7.7944112057266
"Wildfire",9.41727323724241
"Wildfire",9.8079123376131
"Wildfire",9.58932460283475
"Wildfire",10.5836001508256
"Wildfire",9.67721410821299
"Wildfire",10.1982445386599
"Wildfire",8.32263709695394
"Wildfire",9.76623495910975
"Wildfire",7.69120009752286
"Wildfire",7.65775527113487
"Wildfire",8.28121766128665
"Wildfire",10.637152681399
"Wildfire",7.09090982207998
"Wildfire",7.53636393840451
"Wildfire",6.93439720992856
"Wildfire",7.52456122628536
"Wildfire",7.13648320859025
"Wildfire",9.5493807367031
"Wildfire",8.76045304631527
"Wildfire",6.92067150424868
"Wildfire",7.17165682276851
"Wildfire",7.81197342962202
"Unknown",6.98007594056176
"Unknown",6.93439720992856
"Wildfire",7.44190672805162
"Wildfire",9.21622303513434
"Unknown",7.30182234213793
"Unknown",7.20711885620776
"Unknown",7.00033446027523
"Wildfire",9.65033572298117
"Wildfire",9.73973256531601
"Wildfire",8.66094715506093
"Wildfire",8.06274790108635
"Unknown",6.81673588059497
"Wildfire",7.16239749735572
"Wildfire",8.64135583403666
"Wildfire",9.95522574794054
"Wildfire",9.04369529456724
"Wildfire",7.37838371299671
"Wildfire",10.4080737515121
"Wildfire",8.53286967080125
"Wildfire",7.91059061225648
"Wildfire",6.93925394604151
"Wildfire",9.6711771133971
"Wildfire",7.25276241805319
"Unknown",7.0604763659998
"Wildfire",9.40516674990861
"Wildfire",7.41697962138115
"Wildfire",8.98331429339775
"Wildfire",9.89490079159881
"Wildfire",8.54539184577492
"Wildfire",8.96110948589866
"Wildfire",7.29233717617388
"Wildfire",7.40913644392013
"Wildfire",8.54032360880509
"Wildfire",7.90691548867859
"Wildfire",7.32580750259577
"Wildfire",7.44366368311559
"Wildfire",9.63174444388585
"Wildfire",7.41276401742656
"Wildfire",9.15852062324639
"Wildfire",7.96831950001272
"Wildfire",8.61050136854989
"Wildfire",8.54733434832822
"Wildfire",8.33254893925264
"Wildfire",7.05531284333975
"Wildfire",10.2597274018349
"Wildfire",7.19518732017871
"Unknown",7.10167597161944
"Wildfire",7.94449216393216
"Wildfire",8.82438373025606
"Wildfire",6.66185474054531
"Wildfire",10.9136328598819
"Wildfire",7.83557924666997
"Wildfire",6.95844839329766
"Wildfire",7.13249755166004
"Wildfire",7.49443021503157
"Wildfire",8.30052860619974
"Wildfire",8.31311670281925
"Wildfire",7.76472054477148
"Wildfire",7.32251043399739
"Wildfire",8.46442512587758
"Wildfire",9.50613941252991
"Wildfire",8.41338702269065
"Wildfire",7.66902828858968
"Wildfire",6.91968384984741
"Wildfire",7.81923445385907
"Wildfire",7.23056315340929
"Wildfire",8.12917499691179
"Wildfire",7.12929754892937
"Wildfire",8.89494446095689
"Wildfire",7.28138566357028
"Wildfire",7.12689080889881
"Wildfire",7.52886925664225
"Wildfire",8.63105744756528
"Wildfire",7.69848278788095
"Wildfire",7.33823815006559
"Wildfire",7.96623977655947
"Wildfire",7.55903825544338
"Wildfire",6.90975328164481
"Wildfire",8.98719682066197
"Wildfire",9.87513951702064
"Wildfire",10.4670953617411
"Wildfire",8.90679988358994
"Wildfire",9.56724528946897
"Wildfire",9.73008609311673
